num, permutation, resultat, departements, valides, creuse, adjacents, tripoint
1,01125777,375259,37-52-59,True,False,0,
2,01127577,375859,37-58-59,True,False,0,
3,01127757,375919,37-59-19,True,False,0,
4,01127775,375925,37-59-25,True,False,0,
5,01152777,384259,38-42-59,True,False,0,
6,01157277,385759,38-57-59,True,False,0,
7,01157727,385909,38-59-09,True,False,0,
8,01157772,385924,38-59-24,True,False,0,
9,01172577,390859,39-08-59,True,False,1,
10,01172757,390919,39-09-19,True,False,0,
11,01172775,390925,39-09-25,True,False,1,
12,01175277,391759,39-17-59,True,False,0,
13,01175727,391909,39-19-09,True,False,0,
14,01175772,391924,39-19-24,True,False,1,
15,01177257,392419,39-24-19,True,False,1,
16,01177275,392425,39-24-25,True,False,1,
17,01177527,392509,39-25-09,True,False,1,
18,01177572,392524,39-25-24,True,False,1,
19,01177725,392575,39-25-75,True,False,1,
20,01177752,392584,39-25-84,True,False,1,
21,01215777,405259,40-52-59,True,False,0,
22,01217577,405859,40-58-59,True,False,0,
23,01217757,405919,40-59-19,True,False,0,
24,01217775,405925,40-59-25,True,False,0,
25,01251777,417259,41-72-59,True,False,1,
26,01257177,419059,41-90-59,True,False,0,
27,01257717,419239,41-92-39,True,False,0,
28,01257771,419257,41-92-57,True,False,0,
29,01271577,423859,42-38-59,True,False,0,
30,01271757,423919,42-39-19,True,False,0,
31,01271775,423925,42-39-25,True,False,1,
32,01275177,425059,42-50-59,True,False,0,
33,01275717,425239,42-52-39,True,False,0,
34,01275771,425257,42-52-57,True,False,0,
35,01277157,425719,42-57-19,True,False,0,
36,01277175,425725,42-57-25,True,False,0,
37,01277517,425839,42-58-39,True,False,0,
38,01277571,425857,42-58-57,True,False,0,
39,01277715,425905,42-59-05,True,False,0,
40,01277751,425917,42-59-17,True,False,0,
41,01512777,504259,50-42-59,True,False,0,
42,01517277,505759,50-57-59,True,False,0,
43,01517727,505909,50-59-09,True,False,0,
44,01517772,505924,50-59-24,True,False,0,
45,01521777,507259,50-72-59,True,False,0,
46,01527177,509059,50-90-59,True,False,0,
47,01527717,509239,50-92-39,True,False,0,
48,01527771,509257,50-92-57,True,False,0,
49,01571277,523759,52-37-59,True,False,0,
50,01571727,523909,52-39-09,True,False,0,
51,01571772,523924,52-39-24,True,False,0,
52,01572177,524059,52-40-59,True,False,0,
53,01572717,524239,52-42-39,True,False,0,
54,01572771,524257,52-42-57,True,False,0,
55,01577127,525709,52-57-09,True,False,0,
56,01577172,525724,52-57-24,True,False,0,
57,01577217,525739,52-57-39,True,False,0,
58,01577271,525757,52-57-57,False,False,0,
59,01577712,525904,52-59-04,True,False,0,
60,01577721,525907,52-59-07,True,False,0,
61,01712577,570859,57-08-59,True,False,1,
62,01712757,570919,57-09-19,True,False,0,
63,01712775,570925,57-09-25,True,False,0,
64,01715277,571759,57-17-59,True,False,0,
65,01715727,571909,57-19-09,True,False,0,
66,01715772,571924,57-19-24,True,False,1,
67,01717257,572419,57-24-19,True,False,1,
68,01717275,572425,57-24-25,True,False,0,
69,01717527,572509,57-25-09,True,False,0,
70,01717572,572524,57-25-24,True,False,0,
71,01717725,572575,57-25-75,True,False,0,
72,01717752,572584,57-25-84,True,False,0,
73,01721577,573859,57-38-59,True,False,0,
74,01721757,573919,57-39-19,True,False,0,
75,01721775,573925,57-39-25,True,False,1,
76,01725177,575059,57-50-59,True,False,0,
77,01725717,575239,57-52-39,True,False,0,
78,01725771,575257,57-52-57,False,False,0,
79,01727157,575719,57-57-19,False,False,0,
80,01727175,575725,57-57-25,False,False,0,
81,01727517,575839,57-58-39,True,False,0,
82,01727571,575857,57-58-57,False,False,0,
83,01727715,575905,57-59-05,True,False,0,
84,01727751,575917,57-59-17,True,False,0,
85,01751277,583759,58-37-59,True,False,0,
86,01751727,583909,58-39-09,True,False,0,
87,01751772,583924,58-39-24,True,False,0,
88,01752177,584059,58-40-59,True,False,0,
89,01752717,584239,58-42-39,True,False,0,
90,01752771,584257,58-42-57,True,False,0,
91,01757127,585709,58-57-09,True,False,0,
92,01757172,585724,58-57-24,True,False,0,
93,01757217,585739,58-57-39,True,False,0,
94,01757271,585757,58-57-57,False,False,0,
95,01757712,585904,58-59-04,True,False,0,
96,01757721,585907,58-59-07,True,False,0,
97,01771257,590419,59-04-19,True,False,0,
98,01771275,590425,59-04-25,True,False,0,
99,01771527,590509,59-05-09,True,False,0,
100,01771572,590524,59-05-24,True,False,0,
101,01771725,590575,59-05-75,True,False,0,
102,01771752,590584,59-05-84,True,False,0,
103,01772157,590719,59-07-19,True,False,0,
104,01772175,590725,59-07-25,True,False,0,
105,01772517,590839,59-08-39,True,False,1,
106,01772571,590857,59-08-57,True,False,1,
107,01772715,590905,59-09-05,True,False,0,
108,01772751,590917,59-09-17,True,False,0,
109,01775127,591709,59-17-09,True,False,0,
110,01775172,591724,59-17-24,True,False,0,
111,01775217,591739,59-17-39,True,False,0,
112,01775271,591757,59-17-57,True,False,0,
113,01775712,591904,59-19-04,True,False,0,
114,01775721,591907,59-19-07,True,False,0,
115,01777125,592375,59-23-75,True,True,0,
116,01777152,592384,59-23-84,True,True,0,
117,01777215,592405,59-24-05,True,False,0,
118,01777251,592417,59-24-17,True,False,1,
119,01777512,592504,59-25-04,True,False,0,
120,01777521,592507,59-25-07,True,False,0,
121,02115777,705259,70-52-59,True,False,1,
122,02117577,705859,70-58-59,True,False,0,
123,02117757,705919,70-59-19,True,False,0,
124,02117775,705925,70-59-25,True,False,1,
125,02151777,717259,71-72-59,True,False,0,
126,02157177,719059,71-90-59,True,False,0,
127,02157717,719239,71-92-39,True,False,1,
128,02157771,719257,71-92-57,True,False,0,
129,02171577,723859,72-38-59,True,False,0,
130,02171757,723919,72-39-19,True,False,0,
131,02171775,723925,72-39-25,True,False,1,
132,02175177,725059,72-50-59,True,False,0,
133,02175717,725239,72-52-39,True,False,0,
134,02175771,725257,72-52-57,True,False,0,
135,02177157,725719,72-57-19,True,False,0,
136,02177175,725725,72-57-25,True,False,0,
137,02177517,725839,72-58-39,True,False,0,
138,02177571,725857,72-58-57,True,False,0,
139,02177715,725905,72-59-05,True,False,0,
140,02177751,725917,72-59-17,True,False,0,
141,02511777,837259,83-72-59,True,False,0,
142,02517177,839059,83-90-59,True,False,0,
143,02517717,839239,83-92-39,True,False,0,
144,02517771,839257,83-92-57,True,False,0,
145,02571177,857059,85-70-59,True,False,0,
146,02571717,857239,85-72-39,True,False,0,
147,02571771,857257,85-72-57,True,False,0,
148,02577117,859039,85-90-39,True,False,0,
149,02577171,859057,85-90-57,True,False,0,
150,02577711,859237,85-92-37,True,False,0,
151,02711577,903859,90-38-59,True,False,0,
152,02711757,903919,90-39-19,True,False,0,
153,02711775,903925,90-39-25,True,False,2,
154,02715177,905059,90-50-59,True,False,0,
155,02715717,905239,90-52-39,True,False,0,
156,02715771,905257,90-52-57,True,False,0,
157,02717157,905719,90-57-19,True,False,0,
158,02717175,905725,90-57-25,True,False,1,
159,02717517,905839,90-58-39,True,False,0,
160,02717571,905857,90-58-57,True,False,0,
161,02717715,905905,90-59-05,True,False,0,
162,02717751,905917,90-59-17,True,False,0,
163,02751177,917059,91-70-59,True,False,0,
164,02751717,917239,91-72-39,True,False,0,
165,02751771,917257,91-72-57,True,False,0,
166,02757117,919039,91-90-39,True,False,0,
167,02757171,919057,91-90-57,True,False,0,
168,02757711,919237,91-92-37,True,False,1,
169,02771157,923719,92-37-19,True,False,0,
170,02771175,923725,92-37-25,True,False,0,
171,02771517,923839,92-38-39,True,False,0,
172,02771571,923857,92-38-57,True,False,0,
173,02771715,923905,92-39-05,True,False,0,
174,02771751,923917,92-39-17,True,False,0,
175,02775117,925039,92-50-39,True,False,0,
176,02775171,925057,92-50-57,True,False,0,
177,02775711,925237,92-52-37,True,False,0,
178,02777115,925705,92-57-05,True,False,0,
179,02777151,925717,92-57-17,True,False,0,
180,02777511,925837,92-58-37,True,False,0,
181,05112777,1704259,01-70-42-59,True,False,0,
182,05117277,1705759,01-70-57-59,True,False,0,
183,05117727,1705909,01-70-59-09,True,False,0,
184,05117772,1705924,01-70-59-24,True,False,0,
185,05121777,1707259,01-70-72-59,True,False,0,
186,05127177,1709059,01-70-90-59,True,False,1,
187,05127717,1709239,01-70-92-39,True,False,2,
188,05127771,1709257,01-70-92-57,True,False,0,
189,05171277,1723759,01-72-37-59,True,False,1,
190,05171727,1723909,01-72-39-09,True,False,1,
191,05171772,1723924,01-72-39-24,True,False,1,
192,05172177,1724059,01-72-40-59,True,False,0,
193,05172717,1724239,01-72-42-39,True,False,1,
194,05172771,1724257,01-72-42-57,True,False,0,
195,05177127,1725709,01-72-57-09,True,False,0,
196,05177172,1725724,01-72-57-24,True,False,0,
197,05177217,1725739,01-72-57-39,True,False,1,
198,05177271,1725757,01-72-57-57,False,False,0,
199,05177712,1725904,01-72-59-04,True,False,0,
200,05177721,1725907,01-72-59-07,True,False,0,
201,05211777,1737259,01-73-72-59,True,False,1,
202,05217177,1739059,01-73-90-59,True,False,1,
203,05217717,1739239,01-73-92-39,True,False,2,
204,05217771,1739257,01-73-92-57,True,False,1,
205,05271177,1757059,01-75-70-59,True,False,0,
206,05271717,1757239,01-75-72-39,True,False,1,
207,05271771,1757257,01-75-72-57,True,False,0,
208,05277117,1759039,01-75-90-39,True,False,1,
209,05277171,1759057,01-75-90-57,True,False,0,
210,05277711,1759237,01-75-92-37,True,False,1,
211,05711277,1903759,01-90-37-59,True,False,0,
212,05711727,1903909,01-90-39-09,True,False,1,
213,05711772,1903924,01-90-39-24,True,False,1,
214,05712177,1904059,01-90-40-59,True,False,0,
215,05712717,1904239,01-90-42-39,True,False,1,
216,05712771,1904257,01-90-42-57,True,False,0,
217,05717127,1905709,01-90-57-09,True,False,0,
218,05717172,1905724,01-90-57-24,True,False,0,
219,05717217,1905739,01-90-57-39,True,False,1,
220,05717271,1905757,01-90-57-57,False,False,0,
221,05717712,1905904,01-90-59-04,True,False,0,
222,05717721,1905907,01-90-59-07,True,False,0,
223,05721177,1907059,01-90-70-59,True,False,1,
224,05721717,1907239,01-90-72-39,True,False,1,
225,05721771,1907257,01-90-72-57,True,False,0,
226,05727117,1909039,01-90-90-39,False,False,0,
227,05727171,1909057,01-90-90-57,False,False,0,
228,05727711,1909237,01-90-92-37,True,False,0,
229,05771127,1923709,01-92-37-09,True,False,0,
230,05771172,1923724,01-92-37-24,True,False,0,
231,05771217,1923739,01-92-37-39,True,False,1,
232,05771271,1923757,01-92-37-57,True,False,0,
233,05771712,1923904,01-92-39-04,True,False,1,
234,05771721,1923907,01-92-39-07,True,False,1,
235,05772117,1924039,01-92-40-39,True,False,1,
236,05772171,1924057,01-92-40-57,True,False,0,
237,05772711,1924237,01-92-42-37,True,False,0,
238,05777112,1925704,01-92-57-04,True,False,0,
239,05777121,1925707,01-92-57-07,True,False,0,
240,05777211,1925737,01-92-57-37,True,False,0,
241,07112577,2370859,02-37-08-59,True,False,3,02-08-59
242,07112757,2370919,02-37-09-19,True,False,0,
243,07112775,2370925,02-37-09-25,True,False,0,
244,07115277,2371759,02-37-17-59,True,False,1,
245,07115727,2371909,02-37-19-09,True,False,0,
246,07115772,2371924,02-37-19-24,True,False,1,
247,07117257,2372419,02-37-24-19,True,False,1,
248,07117275,2372425,02-37-24-25,True,False,0,
249,07117527,2372509,02-37-25-09,True,False,0,
250,07117572,2372524,02-37-25-24,True,False,0,
251,07117725,2372575,02-37-25-75,True,False,0,
252,07117752,2372584,02-37-25-84,True,False,0,
253,07121577,2373859,02-37-38-59,True,False,1,
254,07121757,2373919,02-37-39-19,True,False,0,
255,07121775,2373925,02-37-39-25,True,False,1,
256,07125177,2375059,02-37-50-59,True,False,1,
257,07125717,2375239,02-37-52-39,True,False,0,
258,07125771,2375257,02-37-52-57,True,False,0,
259,07127157,2375719,02-37-57-19,True,False,0,
260,07127175,2375725,02-37-57-25,True,False,0,
261,07127517,2375839,02-37-58-39,True,False,0,
262,07127571,2375857,02-37-58-57,True,False,0,
263,07127715,2375905,02-37-59-05,True,False,1,
264,07127751,2375917,02-37-59-17,True,False,1,
265,07151277,2383759,02-38-37-59,True,False,1,
266,07151727,2383909,02-38-39-09,True,False,0,
267,07151772,2383924,02-38-39-24,True,False,0,
268,07152177,2384059,02-38-40-59,True,False,1,
269,07152717,2384239,02-38-42-39,True,False,0,
270,07152771,2384257,02-38-42-57,True,False,0,
271,07157127,2385709,02-38-57-09,True,False,0,
272,07157172,2385724,02-38-57-24,True,False,0,
273,07157217,2385739,02-38-57-39,True,False,0,
274,07157271,2385757,02-38-57-57,False,False,0,
275,07157712,2385904,02-38-59-04,True,False,1,
276,07157721,2385907,02-38-59-07,True,False,2,
277,07171257,2390419,02-39-04-19,True,False,0,
278,07171275,2390425,02-39-04-25,True,False,1,
279,07171527,2390509,02-39-05-09,True,False,0,
280,07171572,2390524,02-39-05-24,True,False,0,
281,07171725,2390575,02-39-05-75,True,False,0,
282,07171752,2390584,02-39-05-84,True,False,0,
283,07172157,2390719,02-39-07-19,True,False,0,
284,07172175,2390725,02-39-07-25,True,False,1,
285,07172517,2390839,02-39-08-39,False,False,0,
286,07172571,2390857,02-39-08-57,True,False,1,
287,07172715,2390905,02-39-09-05,True,False,0,
288,07172751,2390917,02-39-09-17,True,False,0,
289,07175127,2391709,02-39-17-09,True,False,0,
290,07175172,2391724,02-39-17-24,True,False,0,
291,07175217,2391739,02-39-17-39,False,False,0,
292,07175271,2391757,02-39-17-57,True,False,0,
293,07175712,2391904,02-39-19-04,True,False,0,
294,07175721,2391907,02-39-19-07,True,False,0,
295,07177125,2392375,02-39-23-75,True,True,0,
296,07177152,2392384,02-39-23-84,True,True,0,
297,07177215,2392405,02-39-24-05,True,False,0,
298,07177251,2392417,02-39-24-17,True,False,1,
299,07177512,2392504,02-39-25-04,True,False,1,
300,07177521,2392507,02-39-25-07,True,False,1,
